Stato,Area Geografica,Macro Regione,Regione,Provincia,Comune;
Italia,Nord,Nord-ovest,Piemonte,Torino,Palazzo Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pancalieri;
Italia,Nord,Nord-ovest,Piemonte,Torino,Parella;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pavarolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pavone Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pecco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pecetto Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Perosa Argentina;
Italia,Nord,Nord-ovest,Piemonte,Torino,Perosa Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Perrero;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pertusio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pessinetto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pianezza;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pinasca;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pinerolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pino Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Piobesi Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Piossasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Piscina;
Italia,Nord,Nord-ovest,Piemonte,Torino,Piverone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Poirino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pomaretto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pont-Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Porte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pragelato;
Italia,Nord,Nord-ovest,Piemonte,Torino,Prali;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pralormo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pramollo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Prarostino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Prascorsano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Pratiglione;
Italia,Nord,Nord-ovest,Piemonte,Torino,Quagliuzzo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Quassolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Quincinetto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Reano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ribordone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Riva presso Chieri;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivalba;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivalta di Torino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivara;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivarolo Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivarossa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rivoli;
Italia,Nord,Nord-ovest,Piemonte,Torino,Robassomero;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rocca Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Roletto;
Italia,Nord,Nord-ovest,Piemonte,Torino,Romano Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Ronco Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rondissone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rorà;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rosta;
Italia,Nord,Nord-ovest,Piemonte,Torino,Roure;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rubiana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Rueglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Salassa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Salbertrand;
Italia,Nord,Nord-ovest,Piemonte,Torino,Salerano Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Salza di Pinerolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Samone;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Benigno Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Carlo Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Colombano Belmonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Didero;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Francesco al Campo;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Germano Chisone;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Gillio;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Giorgio Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Giorio di Susa;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Giusto Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Martino Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Maurizio Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Mauro Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Pietro Val Lemina;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Ponso;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Raffaele Cimena;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Sebastiano da Po;
Italia,Nord,Nord-ovest,Piemonte,Torino,San Secondo di Pinerolo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sangano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sant'Ambrogio di Torino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sant'Antonino di Susa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Santena;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sauze di Cesana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sauze d'Oulx;
Italia,Nord,Nord-ovest,Piemonte,Torino,Scalenghe;
Italia,Nord,Nord-ovest,Piemonte,Torino,Scarmagno;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sciolze;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sestriere;
Italia,Nord,Nord-ovest,Piemonte,Torino,Settimo Rottaro;
Italia,Nord,Nord-ovest,Piemonte,Torino,Settimo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Settimo Vittone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Sparone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Strambinello;
Italia,Nord,Nord-ovest,Piemonte,Torino,Strambino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Susa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Tavagnasco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Torino;
Italia,Nord,Nord-ovest,Piemonte,Torino,Torrazza Piemonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Torre Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Torre Pellice;
Italia,Nord,Nord-ovest,Piemonte,Torino,Trana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Trausella;
Italia,Nord,Nord-ovest,Piemonte,Torino,Traversella;
Italia,Nord,Nord-ovest,Piemonte,Torino,Traves;
Italia,Nord,Nord-ovest,Piemonte,Torino,Trofarello;
Italia,Nord,Nord-ovest,Piemonte,Torino,Usseaux;
Italia,Nord,Nord-ovest,Piemonte,Torino,Usseglio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vaie;
Italia,Nord,Nord-ovest,Piemonte,Torino,Val della Torre;
Italia,Nord,Nord-ovest,Piemonte,Torino,Val di Chy;
Italia,Nord,Nord-ovest,Piemonte,Torino,Valchiusa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Valgioie;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vallo Torinese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Valperga;
Italia,Nord,Nord-ovest,Piemonte,Torino,Valprato Soana;
Italia,Nord,Nord-ovest,Piemonte,Torino,Varisella;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vauda Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Venaria Reale;
Italia,Nord,Nord-ovest,Piemonte,Torino,Venaus;
Italia,Nord,Nord-ovest,Piemonte,Torino,Verolengo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Verrua Savoia;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vestignè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vialfrè;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vico Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vidracco;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vigone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villafranca Piemonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villanova Canavese;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villar Dora;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villar Focchiardo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villar Pellice;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villar Perosa;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villarbasse;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villareggia;
Italia,Nord,Nord-ovest,Piemonte,Torino,Villastellone;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vinovo;
Italia,Nord,Nord-ovest,Piemonte,Torino,Virle Piemonte;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vische;
Italia,Nord,Nord-ovest,Piemonte,Torino,Vistrorio;
Italia,Nord,Nord-ovest,Piemonte,Torino,Viù;
Italia,Nord,Nord-ovest,Piemonte,Torino,Volpiano;
Italia,Nord,Nord-ovest,Piemonte,Torino,Volvera;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Alagna Valsesia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Albano Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Alice Castello;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Alto Sermenza;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Arborio;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Asigliano Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Balmuccia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Balocco;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Bianzè;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Boccioleto;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Borgo d'Ale;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Borgo Vercelli;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Borgosesia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Breia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Buronzo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Campertogno;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Carcoforo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Caresana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Caresanablot;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Carisio;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Casanova Elvo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Cellio;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Cellio con Breia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Cervatto;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Cigliano;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Civiasco;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Collobiano;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Costanzana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Cravagliana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Crescentino;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Crova;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Desana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Fobello;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Fontanetto Po;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Formigliana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Gattinara;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Ghislarengo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Greggio;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Guardabosone;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Lamporo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Lenta;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Lignana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Livorno Ferraris;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Lozzolo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Mollia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Moncrivello;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Motta de' Conti;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Olcenengo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Oldenico;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Palazzolo Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Pertengo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Pezzana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Pila;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Piode;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Postua;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Prarolo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Quarona;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Quinto Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rassa;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rima San Giuseppe;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rimasco;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rimella;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Riva Valdobbia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rive;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Roasio;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Ronsecco;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rossa;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Rovasenda;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Sabbia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Salasco;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Sali Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Saluggia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,San Germano Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,San Giacomo Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Santhià;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Scopa;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Scopello;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Serravalle Sesia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Stroppiana;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Tricerro;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Trino;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Tronzano Vercellese;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Valduggia;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Varallo;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Vercelli;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Villarboit;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Villata;
Italia,Nord,Nord-ovest,Piemonte,Vercelli,Vocca;
